fold_id,sampling,model_name,tn,fp,fn,tp,accuracy,precision,recall,f1_score,roc_auc,rb_recall,feature_set
1,baseline,logistic_regression,129,10,17,55,0.8720379146919431,0.8461538461538461,0.7638888888888888,0.8029197080291971,0.9198641087130296,0.7638888888888888,tier1_baseline
1,baseline,random_forest_classifier,129,10,21,51,0.8530805687203792,0.8360655737704918,0.7083333333333334,0.7669172932330827,0.9230615507593924,0.7083333333333334,tier1_baseline
1,baseline,feedforward_neural_network,127,12,19,53,0.8530805687203792,0.8153846153846154,0.7361111111111112,0.7737226277372263,0.9217625899280576,0.7361111111111112,tier1_baseline
1,smote,logistic_regression,124,15,12,60,0.8720379146919431,0.8,0.8333333333333334,0.8163265306122449,0.9177657873701041,0.8333333333333334,tier1_baseline
1,smote,random_forest_classifier,128,11,15,57,0.8767772511848341,0.8382352941176471,0.7916666666666666,0.8142857142857143,0.926558752997602,0.7916666666666666,tier1_baseline
1,smote,feedforward_neural_network,120,19,11,61,0.8578199052132701,0.7625,0.8472222222222222,0.8026315789473685,0.9230615507593926,0.8472222222222222,tier1_baseline
2,baseline,logistic_regression,125,15,16,55,0.8530805687203792,0.7857142857142857,0.7746478873239436,0.7801418439716312,0.9199195171026157,0.7746478873239436,tier1_baseline
2,baseline,random_forest_classifier,131,9,15,56,0.8862559241706162,0.8615384615384616,0.7887323943661971,0.8235294117647058,0.941046277665996,0.7887323943661971,tier1_baseline
2,baseline,feedforward_neural_network,122,18,13,58,0.8530805687203792,0.7631578947368421,0.8169014084507042,0.7891156462585034,0.9198189134808853,0.8169014084507042,tier1_baseline
2,smote,logistic_regression,115,25,10,61,0.8341232227488151,0.7093023255813954,0.8591549295774648,0.7770700636942676,0.9105633802816901,0.8591549295774648,tier1_baseline
2,smote,random_forest_classifier,128,12,13,58,0.8815165876777251,0.8285714285714286,0.8169014084507042,0.8226950354609929,0.9421529175050302,0.8169014084507042,tier1_baseline
2,smote,feedforward_neural_network,125,15,13,58,0.8672985781990521,0.7945205479452054,0.8169014084507042,0.8055555555555556,0.9237424547283701,0.8169014084507042,tier1_baseline
3,baseline,logistic_regression,129,11,14,57,0.8815165876777251,0.8382352941176471,0.8028169014084507,0.8201438848920863,0.9413480885311871,0.8028169014084507,tier1_baseline
3,baseline,random_forest_classifier,131,9,18,53,0.8720379146919431,0.8548387096774194,0.7464788732394366,0.7969924812030075,0.9425553319919516,0.7464788732394366,tier1_baseline
3,baseline,feedforward_neural_network,122,18,16,55,0.8388625592417062,0.7534246575342466,0.7746478873239436,0.7638888888888888,0.921327967806841,0.7746478873239436,tier1_baseline
