feature_set,model_name,evaluation_type,accuracy,precision,recall,f1_score,roc_auc,rb_recall,brier_score,log_loss,ece,mean_confidence,mean_uncertainty,mean_entropy,mean_uncertainty_correct,mean_uncertainty_incorrect,mean_entropy_correct,mean_entropy_incorrect,mean_confidence_incorrect,incorrect_count
full_enhanced,random_forest_classifier,stratified_cv,0.8710900473933649,0.8481012658227848,0.7528089887640449,0.7976190476190477,0.9334763948497855,0.7528089887640449,0.09502432710256686,0.3463918742838342,0.03865382681768446,0.8324362205756806,0.16756377942431958,0.3785067428086172,0.14530373161766588,0.3179827789413395,0.34891695665567857,0.5784553712979597,0.6820172210586605,136.0
full_enhanced,logistic_regression,stratified_cv,0.8729857819905213,0.8189655172413793,0.800561797752809,0.8096590909090909,0.9250253170661137,0.800561797752809,0.09801439737734664,0.3331035457220169,0.027995517692525864,0.8688346742286968,0.13116532577130335,0.29921179225032035,0.11226047526214275,0.261100902778295,0.2688855655260585,0.5076480221984182,0.7388990972217049,134.0
full_enhanced,feedforward_neural_network,stratified_cv,0.8625592417061612,0.8112094395280236,0.7724719101123596,0.7913669064748201,0.9129655527157577,0.7724719101123596,0.10712486247056417,0.4270039812285681,0.04081200304249812,0.879569647086983,0.12043035291301685,0.26166656588773984,0.10054053844360826,0.2452560851003398,0.2285513119565197,0.46949333193884557,0.7547439148996602,145.0
full_enhanced,random_forest_classifier,cross_environment,0.44360189573459713,0.23448275862068965,0.28651685393258425,0.2579013906447535,0.31934264036906657,0.28651685393258425,0.4312676708244677,2.8870270900469053,0.3611571094066729,0.8047590051412701,0.19524099485872998,0.4076630293443123,0.22893882670015708,0.16837458037527528,0.4743085236769713,0.3545282911029419,0.8316254196247248,587.0
full_enhanced,logistic_regression,cross_environment,0.43507109004739336,0.25103734439834025,0.3398876404494382,0.28878281622911695,0.3931177765989937,0.3398876404494382,0.4877431660116814,2.5681865961240686,0.4582801426107008,0.889120928113396,0.11087907188660391,0.2456182857898937,0.12758273569458703,0.09801500865193236,0.27085521248545796,0.22618246472737022,0.9019849913480675,596.0
full_enhanced,feedforward_neural_network,cross_environment,0.4815165876777251,0.2720763723150358,0.3202247191011236,0.29419354838709677,0.4336612496182347,0.3202247191011236,0.37402747718189816,1.8989572096019698,0.3149230324545099,0.796439620132235,0.20356037986776498,0.37991433482645365,0.19614728498980483,0.21044493598842998,0.35001675161591456,0.407680280477192,0.7895550640115699,547.0
top_ranked,random_forest_classifier,stratified_cv,0.8625592417061612,0.8187311178247734,0.7612359550561798,0.7889374090247453,0.9249811126649629,0.7612359550561798,0.10034906347345263,0.3312479181875105,0.02974024907513063,0.8328189926310307,0.16718100736896946,0.3761490802775481,0.1442189382880042,0.311287785739165,0.34509232581434374,0.5710569875983477,0.688712214260835,145.0
top_ranked,logistic_regression,stratified_cv,0.8473933649289099,0.8,0.7303370786516854,0.7635829662261381,0.9002025365289097,0.7303370786516854,0.1137851130700917,0.3776264205041638,0.026804181625312867,0.8268982995283144,0.17310170047168558,0.3817760630274613,0.1513449739699974,0.29391234328230204,0.3513719172535782,0.5506040526041786,0.7060876567176979,161.0
top_ranked,feedforward_neural_network,stratified_cv,0.8578199052132701,0.8159509202453987,0.7471910112359551,0.7800586510263929,0.9094452749513752,0.7471910112359551,0.1050177714876049,0.3767806139767214,0.024736977539676956,0.8772139380847518,0.12278606191524821,0.28284944740790585,0.10111861569561377,0.25351298744037604,0.24936482934909823,0.4848733096960453,0.7464870125596239,150.0
top_ranked,random_forest_classifier,cross_environment,0.5848341232227489,0.3710691823899371,0.33146067415730335,0.35014836795252224,0.5168981369854206,0.33146067415730335,0.2998030341514522,1.2261551137721964,0.21142883848642144,0.7861074638280798,0.21389253617192003,0.4319215068243495,0.2058990796480667,0.2251527249281245,0.4199819147464991,0.44874052123538544,0.7748472750718756,438.0
