feature_set,cross_env_rf_accuracy,cross_env_rf_roc_auc,cross_env_rf_rb_recall
full_enhanced,0.5000835421888054,0.5111121496110225,0.3732935886308019
top_ranked,0.5318398630254301,0.446514774214304,0.29059508445897503
proxy_only,0.2729948510171351,0.08944158500324223,0.03466430148044498
reduced_hybrid,0.25559408909514847,0.16868038075514882,0.16162570650772992
